OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
125,3,4,7,4,4,4,6,2,2,1,10055,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
126,3,5,9,6,6,6,8,5,2,1,10055,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
127,3,5,9,6,6,6,8,4,2,1,10056,1,1,2023,1,1,4,1,1,1,2,1,1,1,1
128,3,5,8,5,5,5,7,3,2,1,10057,1,1,2023,1,1,4,1,1,1,2,1,1,1,1
129,4,5,10,6,7,7,9,5,2,1,10057,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
130,2,2,5,2,2,2,4,2,2,1,10058,1,1,2023,1,2,4,1,1,2,3,1,1,1,1
131,4,5,10,6,7,7,9,6,2,1,10059,1,1,2023,1,1,4,1,1,1,2,1,1,1,1
132,3,5,9,6,6,6,8,5,2,1,10059,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
133,4,5,10,6,7,7,9,6,2,1,10060,1,1,2023,1,1,4,1,1,1,2,1,1,1,3
134,3,5,8,5,5,5,7,3,2,1,10060,1,2,2023,2,1,4,3,1,1,2,1,1,1,1
135,4,5,10,6,7,7,9,5,2,1,10060,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
136,4,5,10,6,7,7,9,6,2,1,10061,0,1,2023,3,4,4,1,1,2,3,1,1,3,3
137,3,5,8,5,5,5,7,3,2,1,10061,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
138,4,5,10,6,7,7,9,5,2,1,10062,0,1,2023,3,4,4,1,1,1,2,1,1,3,1
139,5,6,13,8,10,10,12,7,3,1,10062,1,1,2023,1,3,4,3,0,0,0,1,6,1,5
140,2,2,5,2,2,2,4,1,2,1,10063,0,1,2023,3,4,4,1,1,1,2,1,1,3,3
141,3,4,7,4,4,4,6,3,2,1,10063,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
142,4,5,11,7,8,8,10,6,2,1,10064,1,1,2023,1,3,4,3,1,1,2,1,1,1,1
143,3,5,9,6,6,6,8,5,2,1,10064,2,1,2023,1,3,4,3,0,0,0,1,6,1,5
144,4,5,12,7,9,9,11,6,2,1,10065,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
145,4,5,12,7,9,9,11,6,2,1,10065,1,2,2023,2,1,4,1,1,1,2,1,1,1,1
146,3,4,7,4,4,4,6,3,2,1,10066,1,1,2023,1,2,4,2,2,1,1,2,1,1,1
147,3,5,8,5,5,5,7,4,2,1,10066,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
148,3,5,8,5,5,5,7,4,2,1,10067,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
